kit_number,player_name,position,Date of birth / Age,nationality,height,foot,joined,signed_from,contract,market_value,club_name
3,Bayu Aji,Centre-Back,,Indonesia,"1,78m",,21-Jan-23,NZR Sumbersari FC,-,€10k,Arema FC
4,Syaeful Anwar,Centre-Back,"Dec 1, 1994 (28)",Indonesia,"1,84m",right,27-Apr-22,Persita Tangerang,2024,€125k,Arema FC
5,Bagas Adi,Centre-Back,"Mar 8, 1997 (26)",Indonesia,"1,76m",left,7-Jan-20,Bhayangkara FC,-,€200k,Arema FC
7,Ariel Lucero,Attacking Midfield,"Apr 16, 1999 (24)",Argentina,"1,70m",left,1-Jul-23,Club Atlético All Boys,-,€250k,Arema FC
8,Arkhan Fikri,Attacking Midfield,"Dec 28, 2004 (18)",Indonesia,"1,65m",right,15-Jun-22,PS Kwarta Deli Serdang,-,€150k,Arema FC
9,Evan Dimas,Central Midfield,"Mar 13, 1995 (28)",Indonesia,"1,67m",both,1-Apr-22,Bhayangkara FC,-,€250k,Arema FC
10,Muhammad Rafli,Attacking Midfield,"Nov 24, 1998 (24)",Indonesia,"1,80m",both,1-Jul-16,ASIFA,-,€225k,Arema FC
11,Charles Lokolingoy,Centre-Forward,"Mar 2, 1997 (26)",Australia,"1,88m",right,1-Jul-23,Zebbug Rangers FC,-,€300k,Arema FC
12,Rifad Marasabessy,Right-Back,"Jul 7, 1999 (23)",Indonesia,"1,68m",right,1-Jul-23,Borneo FC Samarinda,-,€175k,Arema FC
14,Jayus Hariono,Defensive Midfield,"Jan 27, 1997 (26)",Indonesia,"1,74m",right,1-Jan-18,Persekam Metro FC,-,€175k,Arema FC
15,Ichaka Diarra,Centre-Back,"Jan 18, 1995 (28)",Mali,"1,92m",left,1-Jul-23,Al-Ansar FC,-,€275k,Arema FC
17,Ginanjar,Centre-Forward,"Nov 20, 2003 (19)",Indonesia,"1,79m",right,1-Jul-23,Persija Jakarta,30-Jun-24,€100k,Arema FC
18,Julian Schwarzer,Goalkeeper,"Oct 26, 1999 (23)",Philippines,"1,81m",,20-Jul-23,Kuching City,-,€100k,Arema FC
